outcome_indicator,outcome_label,observations,economies,spearman_all_rows,spearman_latest_per_economy,latest_bootstrap_95_low,latest_bootstrap_95_high
IC.ELC.OUTG.ZS,Firms experiencing electrical outages (%),48,21,0.1197,-0.0266,-0.4571,0.4389
IC.FRM.INFRA.IN2,Electrical outages in a typical month,45,21,0.2171,0.1909,-0.301,0.5977
IC.FRM.INFRA.IN3_C,Typical outage duration (hours),45,21,0.2081,0.1572,-0.3205,0.5651
IC.FRM.INFRA.IN4_C,Sales lost to outages (%),45,21,0.3141,0.079,-0.4056,0.5441
IC.ELC.SAID.XD.DB1619,SAIDI under Doing Business methodology,140,20,-0.188,0.0512,-0.4193,0.4907
