iso3,layer_role,source_name,source_url,public_metadata_reachable,boundary_type,boundary_year_represented,download_url,static_download_link,license,status,notes
PNG,admin_boundary_metadata,geoBoundaries gbOpen ADM2,https://www.geoboundaries.org/api/current/gbOpen/PNG/ADM2/,True,ADM2,2019,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/PNG/ADM2/geoBoundaries-PNG-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/PNG/ADM2/geoBoundaries-PNG-ADM2-all.zip,nan,ADM2 metadata visible,Metadata checked only; no boundary geometry is downloaded or intersected.
SLB,admin_boundary_metadata,geoBoundaries gbOpen ADM2,https://www.geoboundaries.org/api/current/gbOpen/SLB/ADM2/,True,ADM2,2018,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SLB/ADM2/geoBoundaries-SLB-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SLB/ADM2/geoBoundaries-SLB-ADM2-all.zip,nan,ADM2 metadata visible,Metadata checked only; no boundary geometry is downloaded or intersected.
AFG,admin_boundary_metadata,geoBoundaries gbOpen ADM2,https://www.geoboundaries.org/api/current/gbOpen/AFG/ADM2/,True,ADM2,2014,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/AFG/ADM2/geoBoundaries-AFG-ADM2-all.zip,license was officially a custom license simply described as open on ArcGIS Hub. No other restictions were included so collector decided on public domain as the official license.,ADM2 metadata visible,Metadata checked only; no boundary geometry is downloaded or intersected.
LAO,admin_boundary_metadata,geoBoundaries gbOpen ADM2,https://www.geoboundaries.org/api/current/gbOpen/LAO/ADM2/,True,ADM2,2019,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LAO/ADM2/geoBoundaries-LAO-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LAO/ADM2/geoBoundaries-LAO-ADM2-all.zip,nan,ADM2 metadata visible,Metadata checked only; no boundary geometry is downloaded or intersected.
BGD,admin_boundary_metadata,geoBoundaries gbOpen ADM2,https://www.geoboundaries.org/api/current/gbOpen/BGD/ADM2/,True,ADM2,2020,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM2/geoBoundaries-BGD-ADM2.geojson,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/BGD/ADM2/geoBoundaries-BGD-ADM2-all.zip,nan,ADM2 metadata visible,Metadata checked only; no boundary geometry is downloaded or intersected.
