generated_at,attestation_chain,status,method,station_specific_evidence_id,source_station_id,source_station_name,api_station_name,api_alias,api_region_id,api_station_category,api_reading_date_iso,api_pm25_value_status,official_region_table_match_found,official_region_table_match_quality,official_region_table_candidate_count,official_region_name,official_region_page_url,official_region_page_sha256,official_region_display_row_id,official_region_row_name,official_region_row_address,official_region_row_auto,official_region_row_updated_raw,official_region_row_updated_iso,official_region_row_updated_age_days,official_region_view_url,official_region_view_station_id,official_region_view_id_matches_target,official_region_horiba_context_found,official_region_recent_update_within_30_days,official_region_updating_data_status,official_detail_page_retrieved,official_detail_page_sha256,official_detail_page_title,official_detail_updated_raw,official_detail_updated_iso,official_detail_updated_age_days,official_detail_recent_measurement_within_30_days,official_detail_pm25_value,official_detail_pm25_value_status,official_detail_measurement_context_found,official_event_note_match_found,official_event_note_url,official_event_note_sha256,official_event_note_terms,station_specific_equipment_context_found,station_specific_status_or_update_context_found,target_station_id_named_in_non_api_source,current_status_confirmed,station_method_classified,complete_monitor_grade_classification_available,station_radius_grade_assumption_ready,source_scan_decision,reader_use,non_claim
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-722,722,Автоматическая станция мониторинга атмосферного воздуха (Beta),Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1712,Навоий,2024-03-22,negative_raw_value,True,unique_by_name_address_and_update_date,1,Navoi region,https://monitoring.meteo.uz/en/map/regions/navoijskaja-oblast,c2fbfcc4d47cfbb90ad4929055e631db4f39b86fcf13656476f6e62b106ad0da,4,Автоматическая станция мониторинга атмосферного воздуха (Beta),Навоий,horiba,"22.03.2024, 20:32",2024-03-22,819,https://monitoring.meteo.uz/en/map/view/722,722,True,True,False,False,True,f03f513654b550eeb8e22fd2f1d38a66a341b1bd89f2d7d0e609408583d8a4b8,Автоматическая станция мониторинга атмосферного воздуха (Beta),19.06.2026 16:00,2026-06-19,0,True,5.438,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-723,723,Автоматическая станция мониторинга атмосферного воздуха (Beta),Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1706,Бухоро,2024-03-22,negative_raw_value,True,unique_by_name_address_and_update_date,1,Bukhara region,https://monitoring.meteo.uz/en/map/regions/buharskaja-oblast,084d597af3819a2b9498f428b34b175dc6ba92bef0cb9afe0657e47523bf5387,5,Автоматическая станция мониторинга атмосферного воздуха (Beta),Бухоро,horiba,"22.03.2024, 20:33",2024-03-22,819,https://monitoring.meteo.uz/en/map/view/723,723,True,True,False,False,True,8f10b32139a35a79c2bcc50c4a6c7189351cf07e26b01c13c8271b8a83ffefba,Автоматическая станция мониторинга атмосферного воздуха (Beta),19.06.2026 16:00,2026-06-19,0,True,6.585,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-724,724,Автоматическая станция мониторинга атмосферного воздуха (Beta),Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1703,Андижон,2024-03-22,negative_raw_value,True,unique_by_name_address_and_update_date,1,Andijan region,https://monitoring.meteo.uz/en/map/regions/andizhanskaja-oblast,bce9d134a4169764c28dca06162055c6cf94505cc792499203462ebdaee893f3,4,Автоматическая станция мониторинга атмосферного воздуха (Beta),Андижон,horiba,"22.03.2024, 20:35",2024-03-22,819,https://monitoring.meteo.uz/en/map/view/724,724,True,True,False,False,True,31d2887ac92f1ad5b88dcea2e0df54075fc28802299e591bb7c9d090d8f6266b,Автоматическая станция мониторинга атмосферного воздуха (Beta),19.06.2026 16:00,2026-06-19,0,True,7.373,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-725,725,Автоматическая станция мониторинга атмосферного воздуха (Beta),Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1714,Наманган,2024-03-22,negative_raw_value,True,unique_by_name_address_and_update_date,1,Namangan region,https://monitoring.meteo.uz/en/map/regions/namanganskaja-oblast,85a288d2e241f2598292c866e4122644fb5208a1860685ceee6bac87270f310e,4,Автоматическая станция мониторинга атмосферного воздуха (Beta),Наманган,horiba,"22.03.2024, 20:36",2024-03-22,819,https://monitoring.meteo.uz/en/map/view/725,725,True,True,False,False,True,19b0fead5d8b14da2182591fb626b400b4913a7844210c59cf0c9882b5bae6dc,Автоматическая станция мониторинга атмосферного воздуха (Beta),19.06.2026 16:00,2026-06-19,0,True,11.299,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-726,726,Автоматическая станция мониторинга атмосферного воздуха (Beta),Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1730,Фарғона,2024-03-22,negative_raw_value,True,unique_by_name_address_and_update_date,1,Ferghana region,https://monitoring.meteo.uz/en/map/regions/ferganskaja-oblast,18939ad241a0c361dc68d6325c1dee68f06d9c85caccc3c32bb92cfe72546dd7,8,Автоматическая станция мониторинга атмосферного воздуха (Beta),Фарғона,horiba,"22.03.2024, 20:37",2024-03-22,819,https://monitoring.meteo.uz/en/map/view/726,726,True,True,False,False,True,8679005e0c2d3cc97106f3b97ac8351edd849d0e07f699d1855223caa19e5f35,Автоматическая станция мониторинга атмосферного воздуха (Beta),19.06.2026 16:00,2026-06-19,0,True,9.505,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-727,727,Автоматическая станция мониторинга атмосферного воздуха (Beta),Автоматическая станция мониторинга атмосферного воздуха (Beta),avtomaticheskaja-stantsija-monitoringa-atmosfernogo-vozduha-beta-,1727,Нурафшон,2024-03-22,positive_raw_value,True,unique_by_name_address_and_update_date,1,Tashkent region,https://monitoring.meteo.uz/en/map/regions/tashkentskaja-oblast,85ecc423e48cba4beeec83fd1c955a8d36486fb6e8c4e21f776d6065f1c15b2e,14,Автоматическая станция мониторинга атмосферного воздуха (Beta),Нурафшон,horiba,"22.03.2024, 20:41",2024-03-22,819,https://monitoring.meteo.uz/en/map/view/727,727,True,True,False,False,True,a86587a0eecb0c94eea6c77c99949b203646503baaffbc030e09ada0009172ac,Автоматическая станция мониторинга атмосферного воздуха (Beta),19.06.2026 16:00,2026-06-19,0,True,16.284,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-728,728,Sergili,Sergili,sergili,1726,Sergili,2024-12-27,negative_raw_value,True,unique_by_name_address_and_update_date,1,Tashkent city,https://monitoring.meteo.uz/en/map/regions/gorod-tashkent,ae5d751b5528fe64c1e790c4b60929aef20d2304229d87aac7e0b9dfd6b82f76,17,Sergili,Sergili,horiba,"27.12.2024, 00:00",2024-12-27,539,https://monitoring.meteo.uz/en/map/view/728,728,True,True,False,False,True,ab7dfb396a3d6a6b000b0db9e9ed5997ad3637dc3046e034ad6e2830828c1c85,Sergili,16.06.2026 15:00,2026-06-16,3,True,-9999,negative,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-729,729,Yangi O'zbekiston,Yangi O'zbekiston,jangi-uzbekistan,1726,Yangi O'zbekiston,2024-12-27,negative_raw_value,True,unique_by_name_address_and_update_date,1,Tashkent city,https://monitoring.meteo.uz/en/map/regions/gorod-tashkent,ae5d751b5528fe64c1e790c4b60929aef20d2304229d87aac7e0b9dfd6b82f76,18,Yangi O'zbekiston,Yangi O'zbekiston,horiba,"27.12.2024, 15:41",2024-12-27,539,https://monitoring.meteo.uz/en/map/view/729,729,True,True,False,False,True,55d07b0474cdb1f19b4df2feb0c22f0bc074c3577a6a0f7c51537284c97e98b4,Yangi O'zbekiston,19.06.2026 16:00,2026-06-19,0,True,11.98,positive,True,True,https://gov.uz/oz/eco/news/view/87646,dd7ff4b2c7c1593e1e8713d68cc81beaa0730c227491ca4e108250f8d7573e07,yangi o'zbekiston|horiba|pm2.5,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-730,730,Safia,Safia,safia,1726,Safia,2024-12-27,positive_raw_value,True,unique_by_name_address_and_update_date,1,Tashkent city,https://monitoring.meteo.uz/en/map/regions/gorod-tashkent,ae5d751b5528fe64c1e790c4b60929aef20d2304229d87aac7e0b9dfd6b82f76,19,Safia,Safia,horiba,"27.12.2024, 15:42",2024-12-27,539,https://monitoring.meteo.uz/en/map/view/730,730,True,True,False,False,True,c6bfe5c5cd81fd66ca2c711346d7902740a0c1118ee8fd6c885d27fbe832d380,Safia,19.06.2026 16:00,2026-06-19,0,True,16.341,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
2026-06-19T11:52:10Z,ai-first,computed_uzbekistan_station_specific_source_evidence,air_monitoring_uzbekistan_station_specific_source_evidence_v1,UZB-station-specific-source-731,731,Green University,Green University,green-university,1726,Green University,2024-12-27,negative_raw_value,True,unique_by_name_address_and_update_date,1,Tashkent city,https://monitoring.meteo.uz/en/map/regions/gorod-tashkent,ae5d751b5528fe64c1e790c4b60929aef20d2304229d87aac7e0b9dfd6b82f76,20,Green University,Green University,horiba,"27.12.2024, 16:17",2024-12-27,539,https://monitoring.meteo.uz/en/map/view/731,731,True,True,False,False,True,279f7c30c371123e56fe412ee09087691b805e1ab59739c83a17260c6b54a908,Green University,19.06.2026 16:00,2026-06-19,0,True,10.25,positive,True,False,,,,True,True,True,False,False,False,False,station_detail_id_match_recent_measurement_keep_open,"The official station-detail URL matches the target station ID and has a recent measurement timestamp, but no complete grade statement.","This scan checks official station-specific web rows and official event text for target-row context. It does not certify a target station as currently operating, reference-grade, complete monitor-grade, or station-radius-ready."
