generated_at,attestation_chain,status,method,iso3,iso2,country,subregion,upgrade_queue_class,source_name,agency,source_url,retrieval_url,retrieval_status,http_status,content_type,retrieval_bytes,retrieval_note,extraction_level,source_evidence_type,source_station_id,source_station_name,station_area,source_station_type,source_station_category,latitude,longitude,coordinate_available,pm25_signal,pollutants_listed,live_pm25_value,source_station_count_claim,source_count_basis,openaq_country_rows,nearest_openaq_location_id,nearest_openaq_location_name,nearest_openaq_distance_km,nearest_openaq_within_5km,best_openaq_name_overlap,name_overlap_with_openaq,non_claim
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-11,DFO Office Campus,,CAMS,,22.71023,90.362565,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,22,SPARTAN - Dhaka University,113.229,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-12,"DoE Office, Divisional Headquarter",,CAMS,,24.76239,90.402041,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6219798,"Kalijung,Gazipur",96.858,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-13,BTV Rangpur Station,,CAMS,,25.747371,89.228931,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",231.677,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-14,Atomic Energy Research Institute,,CAMS,,23.953726,90.279617,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",7.42,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-15,Sadar Upazila Complex,,CAMS,,23.932465,90.716542,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6219798,"Kalijung,Gazipur",18.363,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,CAMS-16,Court Area,,CAMS,,23.472988,91.180671,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6219798,"Kalijung,Gazipur",80.765,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,C-CAMS-17,"Sadar, Faridpur (Municipal Office)",,C-CAMS,,23.60624,89.83871,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",53.566,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,C-CAMS-18,"Sadar, Jashore (circuit house)",,C-CAMS,,23.162142,89.20638,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,3194367,"Dept. of Public Health and Informatics, Jahangirnagar University",134.819,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,C-CAMS-19,"Shyamnagar, Satkhira",,C-CAMS,,22.315996,89.04317,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6236590,"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",208.859,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
2026-06-19T07:14:55Z,ai-first,computed,air_monitoring_regulator_station_extraction_v1,BGD,BD,Bangladesh,South Asia,baseline_top5_and_positive_gdp_residual,Ambient Air Quality in Bangladesh,Department of Environment,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-doe/2024/12/014a6e225cf849098389d835538afdc9.pdf,retrieved,200,application/pdf,4481176,,station_coordinates,official_pdf_station_table,C-CAMS-20,"Rampal, Bagerhat",,C-CAMS,,22.595599,89.554563,True,True,PM10; PM2.5; SO2; CO; O3; NOx; meteorological parameters,,31 monitoring sites; 16 CAMS; 15 C-CAMS,PDF text states 16 CAMS and 15 C-CAMS; station table lists 31 IDs.,22,6236590,"Hazaribagh, Jigatola | Dhaka | Smart Air Bangladesh",152.365,False,0,False,"This official-source extraction pass does not validate monitor grade, does not prove a monitor exists or does not exist outside OpenAQ, and does not compute station-radius population coverage."
