iso3,country,gdis_id,disasterno,year,disastertype,locations,admin_levels,adm1_sample,adm2_sample,readiness_lane
IND,India,2939,2012-0354,2012,flood,2,L2:2,Uttarakhand,Bageshwar; Rudraprayag,needs_emdat_event_date_and_black_marble_extraction
IND,India,2941,2012-0425,2012,storm,2,L1:2,Andhra Pradesh; Tamil Nadu,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2943,2013-0140,2013,earthquake,2,L2:2,Jammu And Kashmir,Doda; Kishtwar,needs_emdat_event_date_and_black_marble_extraction
IND,India,2949,2013-0482,2013,storm,2,L1:2,Bihar; Jharkhand,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2953,2014-0551,2014,storm,2,L2:1; L1:1,Andhra Pradesh; Telangana,Hyderabad; NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2954,2014-0106,2014,storm,2,L1:1; L2:1,Jammu And Kashmir; Rajasthan,Jaipur; NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2957,2014-0268,2014,flood,2,L1:2,Himachal Pradesh; Uttarakhand,NA,needs_emdat_event_date_and_black_marble_extraction
KAZ,Kazakhstan,3725,2014-0123,2014,flood,2,L2:1; L1:1,East Kazakhstan; Qaraghandy,Kokpektinskiy; NA,needs_emdat_event_date_and_black_marble_extraction
MMR,Myanmar,4420,2012-0319,2012,flood,2,L2:2,Kayin,Hpa-An; Kawkareik,needs_emdat_event_date_and_black_marble_extraction
MMR,Myanmar,4424,2015-0118,2015,storm,2,L1:2,Kachin; Sagaing,NA,needs_emdat_event_date_and_black_marble_extraction
NPL,Nepal,4474,2014-0246,2014,flood,2,L3:2,Central,Bagmati,needs_emdat_event_date_and_black_marble_extraction
NPL,Nepal,4479,2015-0175,2015,earthquake,2,L3:2,Central,Bagmati; Janakpur,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,02-495,2016-0375,2016,flood,2,L1:2,Baluchistan; Sind,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,02-498,2017-0145,2017,storm,2,L1:2,N.W.F.P.; Punjab,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,03-378,2015-0232,2015,extreme temperature,2,L1:2,Punjab; Sind,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4764,2012-0475,2012,flood,2,L1:2,Azad Kashmir; N.W.F.P.,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4777,2015-0282,2015,flood,2,L3:1; L1:1,N.W.F.P.; Punjab,Malakand; NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5335,2012-0374,2012,storm,2,L2:1; L1:1,Metropolitan Manila; Zamboanga Del Norte,Muntinlupa; NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5336,2012-0463,2012,storm,2,L1:2,Occidental Mindoro; Zambales,NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5338,2012-0500,2012,storm,2,L1:2,Compostela Valley; Davao Oriental,NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5348,2013-0418,2013,flood,2,L2:2,Palawan; Zambales,Busuanga; Olongapo,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5367,2015-0105,2015,storm,2,L1:2,Aurora; Isabela,NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5369,2015-0279,2015,flood,2,L1:2,Basilan; Tawi-Tawi,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,02-506,2018-0317,2018,earthquake,2,L1:2,Hela; Southern Highlands,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,05-701,2018-0017,2018,volcanic activity,2,L1:2,Bougainville; Eastern Highlands,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,06-214,2015-0093,2015,storm,2,L1:2,Madang; West New Britain,NA,needs_emdat_event_date_and_black_marble_extraction
SLB,Solomon Islands,5694,2015-0093,2015,storm,2,L1:2,Malaita; Temotu,NA,needs_emdat_event_date_and_black_marble_extraction
THA,Thailand,6273,2014-0345,2014,flood,2,L1:2,Phra Nakhon Si Ayutthaya; Sukhothai,NA,needs_emdat_event_date_and_black_marble_extraction
TON,Tonga,6298,2014-0001,2014,storm,2,L1:2,Ha'apai; Vava'u,NA,needs_emdat_event_date_and_black_marble_extraction
VNM,Viet Nam,7386,2014-0474,2014,storm,2,L1:2,Binh Dinh; Phu Yen,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,1-Jun,2015-0581,2015,flood,1,L1:1,Faryab,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,10-Feb,2018-0350,2018,flood,1,L1:1,Kunar,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,15-Apr,2012-0563,2012,landslide,1,L1:1,Nuristan,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,16-Apr,2012-0067,2012,landslide,1,L1:1,Badakhshan,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,17-Apr,2013-0414,2013,landslide,1,L2:1,Badakhshan,Zebak,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,19-Apr,2015-0059,2015,landslide,1,L1:1,Badakhshan,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,20-Apr,2015-0058,2015,landslide,1,L1:1,Badakhshan,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,22-Apr,2017-0026,2017,landslide,1,L1:1,Nuristan,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,23-Apr,2017-0027,2017,landslide,1,L2:1,Badakhshan,Darwaz,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,24-Apr,2018-0189,2018,landslide,1,L1:1,Panjshir,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,25-Apr,2018-0242,2018,landslide,1,L1:1,Panjshir,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,3-Feb,2016-0191,2016,flood,1,L2:1,Badakhshan,Baharak,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,3-Jun,2015-0571,2015,earthquake,1,L2:1,Badakhshan,Ishkashim,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,4-Feb,2016-0309,2016,flood,1,L1:1,Khost,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,79,2012-0102,2012,flood,1,L1:1,Kunduz,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,81,2012-0183,2012,flood,1,L1:1,Takhar,NA,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,82,2012-0143,2012,flood,1,L2:1,Sari Pul,Kohistanat,needs_emdat_event_date_and_black_marble_extraction
AFG,Afghanistan,93,2014-0185,2014,flood,1,L1:1,Baghlan,NA,needs_emdat_event_date_and_black_marble_extraction
ARM,Armenia,15-Jul,2018-0480,2018,storm,1,L1:1,Shirak,NA,needs_emdat_event_date_and_black_marble_extraction
ARM,Armenia,23-Mar,2013-0568,2013,extreme temperature,1,L1:1,Erevan,NA,needs_emdat_event_date_and_black_marble_extraction
ARM,Armenia,267,2013-0194,2013,storm,1,L1:1,Armavir,NA,needs_emdat_event_date_and_black_marble_extraction
AZE,Azerbaijan,Mar-35,2012-0019,2012,extreme temperature,1,L2:1,Absheron,Baki,needs_emdat_event_date_and_black_marble_extraction
BGD,Bangladesh,636,2013-0085,2013,storm,1,L3:1,Chittagong,Brahamanbaria,needs_emdat_event_date_and_black_marble_extraction
BGD,Bangladesh,640,2014-0244,2014,storm,1,L2:1,Dhaka,Faridpur,needs_emdat_event_date_and_black_marble_extraction
BGD,Bangladesh,642,2015-0118,2015,storm,1,L2:1,Rajshahi,Bogra,needs_emdat_event_date_and_black_marble_extraction
CHN,China,01-377,2012-0200,2012,flood,1,L1:1,Shaanxi,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-101,2016-0256,2016,storm,1,L1:1,Fujian,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-103,2016-0371,2016,storm,1,L1:1,Guangdong,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-106,2016-0342,2016,storm,1,L1:1,Fujian,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-111,2017-0513,2017,earthquake,1,L3:1,Xizang,Nyingtri,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-113,2017-0113,2017,earthquake,1,L3:1,Yunnan,Dali Bai,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-115,2017-0568,2017,flood,1,L3:1,Shaanxi,Yulin,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-116,2017-0124,2017,earthquake,1,L3:1,Shanxi,Yuncheng,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-124,2017-0281,2017,storm,1,L1:1,Hainan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-131,2017-0326,2017,storm,1,L1:1,Fujian,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-132,2017-0331,2017,earthquake,1,L3:1,Sichuan,Ngawa Tibetan And Qiang,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-137,2018-0215,2018,earthquake,1,L1:1,Jilin,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-144,2018-0323,2018,earthquake,1,L2:1,Yunnan,Yuxi,needs_emdat_event_date_and_black_marble_extraction
CHN,China,02-147,2018-0341,2018,storm,1,L2:1,Guangdong,Shenzhen,needs_emdat_event_date_and_black_marble_extraction
CHN,China,03-128,2012-0559,2012,extreme temperature,1,L1:1,Xizang,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,03-129,2013-0582,2013,extreme temperature,1,L1:1,Shanghai,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-147,2012-0455,2012,landslide,1,L2:1,Yunnan,Kunming,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-148,2013-0167,2013,landslide,1,L3:1,Xizang,Lhasa,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-149,2013-0565,2013,landslide,1,L3:1,Guizhou,Tongren,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-150,2013-0245,2013,landslide,1,L2:1,Sichuan,Chengdu,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-151,2014-0337,2014,landslide,1,L3:1,Guizhou,Qiannan Buyei And Miao,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-153,2015-0510,2015,landslide,1,L2:1,Zhejiang,Lishui,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-155,2016-0250,2016,landslide,1,L2:1,Guizhou,Bijie,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-156,2016-0255,2016,landslide,1,L3:1,Xinjiang Uygur,Ili Kazakh,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-157,2017-0044,2017,landslide,1,L3:1,Hubei,Xiangfan,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-158,2017-0201,2017,landslide,1,L3:1,Sichuan,Ngawa Tibetan And Qiang,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-159,2017-0363,2017,landslide,1,L2:1,Guizhou,Bijie,needs_emdat_event_date_and_black_marble_extraction
CHN,China,04-160,2017-0332,2017,landslide,1,L3:1,Sichuan,Liangshan Yi,needs_emdat_event_date_and_black_marble_extraction
CHN,China,05-190,2013-0018,2013,mass movement (dry),1,L2:1,Yunnan,Zhaotong,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1577,2012-0604,2012,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1585,2012-0338,2012,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1586,2012-0477,2012,flood,1,L1:1,Hubei,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1587,2012-0199,2012,flood,1,L1:1,Sichuan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1588,2012-0397,2012,earthquake,1,L1:1,Jiangsu,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1589,2012-0292,2012,flood,1,L1:1,Beijing,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1594,2012-0603,2012,flood,1,L1:1,Shaanxi,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1599,2012-0536,2012,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1608,2013-0201,2013,flood,1,L1:1,Guangdong,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1615,2013-0259,2013,flood,1,L1:1,Sichuan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1621,2013-0341,2013,storm,1,L1:1,Hainan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1625,2013-0306,2013,storm,1,L1:1,Fujian,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1628,2013-0373,2013,storm,1,L1:1,Guangdong,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1631,2013-0433,2013,storm,1,L1:1,Hainan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1632,2013-0470,2013,earthquake,1,L1:1,Jilin,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1633,2013-0581,2013,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1635,2013-0555,2013,earthquake,1,L1:1,Hubei,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1640,2014-0129,2014,earthquake,1,L1:1,Yunnan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1643,2014-0549,2014,flood,1,L1:1,Hunan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1644,2014-0173,2014,earthquake,1,L1:1,Yunnan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1645,2014-0177,2014,earthquake,1,L1:1,Yunnan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1647,2014-0550,2014,flood,1,L1:1,Guangdong,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1658,2014-0555,2014,storm,1,L1:1,Guizhou,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1662,2014-0292,2014,storm,1,L1:1,Chongqing,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1664,2014-0330,2014,storm,1,L1:1,Zhejiang,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1666,2014-0464,2014,earthquake,1,L1:1,Sichuan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1668,2014-0544,2014,earthquake,1,L1:1,Sichuan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1669,2015-0078,2015,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1671,2015-0144,2015,earthquake,1,L1:1,Xizang,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1678,2015-0252,2015,storm,1,L1:1,Hainan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1680,2015-0271,2015,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1681,2015-0278,2015,storm,1,L1:1,Guangdong,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,1682,2015-0244,2015,storm,1,L1:1,Zhejiang,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Feb-84,2016-0364,2016,storm,1,L1:1,Guangdong,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Feb-85,2016-0480,2016,earthquake,1,L1:1,Xinjiang Uygur,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Feb-86,2016-0526,2016,earthquake,1,L2:1,Xinjiang Uygur,Shihezi,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Jul-43,2018-0159,2018,flood,1,L1:1,Guangxi,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Jul-50,2018-0285,2018,storm,1,L1:1,Fujian,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Jun-55,2015-0160,2015,storm,1,L1:1,Sichuan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Jun-60,2015-0175,2015,earthquake,1,L2:1,Xizang,Shigatse,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Jun-81,2015-0491,2015,storm,1,L1:1,Yunnan,NA,needs_emdat_event_date_and_black_marble_extraction
CHN,China,Jun-82,2015-0533,2015,flood,1,L1:1,Hunan,NA,needs_emdat_event_date_and_black_marble_extraction
FJI,Fiji,02-193,2016-0141,2016,storm,1,L1:1,Western,NA,needs_emdat_event_date_and_black_marble_extraction
FJI,Fiji,02-194,2018-0101,2018,storm,1,L1:1,Western,NA,needs_emdat_event_date_and_black_marble_extraction
FJI,Fiji,2165,2012-0069,2012,flood,1,L1:1,Western,NA,needs_emdat_event_date_and_black_marble_extraction
GEO,Georgia,2287,2013-0502,2013,storm,1,L1:1,Ajaria,NA,needs_emdat_event_date_and_black_marble_extraction
GEO,Georgia,2291,2015-0227,2015,flood,1,L1:1,Tbilisi,NA,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3190,2012-0097,2012,earthquake,1,L2:1,Aceh,Simeulue,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3191,2012-0575,2012,flood,1,L1:1,Maluku Utara,NA,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3193,2012-0582,2012,flood,1,L2:1,Maluku,Ambon,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3196,2012-0376,2012,earthquake,1,L2:1,Sulawesi Barat,Mamuju,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3198,2012-0378,2012,flood,1,L2:1,Sumatera Barat,Padang,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3201,2013-0034,2013,flood,1,L1:1,Sulawesi Selatan,NA,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3202,2013-0007,2013,flood,1,L1:1,Jakarta Raya,NA,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3203,2013-0020,2013,earthquake,1,L1:1,Aceh,NA,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3205,2013-0560,2013,flood,1,L2:1,Nusa Tenggara Timur,Belu,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3210,2013-0428,2013,flood,1,L2:1,Sumatera Utara,Langkat,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3211,2013-0436,2013,earthquake,1,L1:1,Aceh,NA,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3213,2013-0541,2013,flood,1,L2:1,Sumatera Utara,Tebingtinggi,needs_emdat_event_date_and_black_marble_extraction
IDN,Indonesia,3220,2015-0077,2015,flood,1,L1:1,Jakarta Raya,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,01-748,2012-0322,2012,flood,1,L1:1,Rajasthan,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,01-749,2014-0343,2014,flood,1,L1:1,Jammu And Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-270,2017-0495,2017,flood,1,L2:1,Tamil Nadu,Chennai,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-272,2017-0570,2017,storm,1,L2:1,West Bengal,Maldah,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-275,2017-0257,2017,flood,1,L1:1,Gujarat,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-285,2018-0138,2018,storm,1,L2:1,West Bengal,Kolkata,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-288,2018-0213,2018,flood,1,L1:1,Tripura,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-290,2018-0216,2018,flood,1,L3:1,Karnataka,Dakshina Kannada,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-295,2018-0286,2018,flood,1,L1:1,Odisha,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,02-299,2018-0370,2018,flood,1,L1:1,Uttar Pradesh,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,03-256,2014-0520,2014,extreme temperature,1,L2:1,Uttar Pradesh,Muzaffarnagar,needs_emdat_event_date_and_black_marble_extraction
IND,India,03-260,2018-0049,2018,extreme temperature,1,L1:1,NCT Of Delhi,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,04-308,2014-0270,2014,landslide,1,L2:1,Maharashtra,Pune,needs_emdat_event_date_and_black_marble_extraction
IND,India,04-310,2016-0195,2016,landslide,1,L1:1,Uttarakhand,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,04-311,2016-0049,2016,landslide,1,L1:1,Jammu And Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,04-312,2017-0046,2017,landslide,1,L2:1,Jammu And Kashmir,Ganderbal,needs_emdat_event_date_and_black_marble_extraction
IND,India,04-313,2017-0483,2017,landslide,1,L2:1,Himachal Pradesh,Mandi,needs_emdat_event_date_and_black_marble_extraction
IND,India,04-314,2017-0266,2017,landslide,1,L2:1,Arunachal Pradesh,Papum Pare,needs_emdat_event_date_and_black_marble_extraction
IND,India,05-408,2012-0049,2012,mass movement (dry),1,L1:1,Jammu And Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,06-122,2015-0207,2015,flood,1,L2:1,Tamil Nadu,Virudunagar,needs_emdat_event_date_and_black_marble_extraction
IND,India,06-123,2015-0600,2015,storm,1,L1:1,Andhra Pradesh,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,06-129,2015-0374,2015,flood,1,L1:1,Assam,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,06-132,2015-0604,2015,storm,1,L1:1,Maharashtra,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2938,2012-0322,2012,flood,1,L1:1,Rajasthan,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2942,2013-0090,2013,storm,1,L1:1,Uttar Pradesh,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2944,2013-0138,2013,storm,1,L1:1,Andhra Pradesh,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2956,2014-0218,2014,flood,1,L1:1,Assam,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2958,2014-0313,2014,flood,1,L1:1,Odisha,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2959,2014-0409,2014,flood,1,L1:1,Odisha,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2964,2015-0107,2015,flood,1,L1:1,Jammu And Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2965,2015-0118,2015,storm,1,L1:1,Tripura,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2969,2015-0175,2015,earthquake,1,L1:1,Bihar,NA,needs_emdat_event_date_and_black_marble_extraction
IND,India,2971,2015-0253,2015,flood,1,L3:1,West Bengal,Darjiling,needs_emdat_event_date_and_black_marble_extraction
LAO,Lao PDR,02-392,2017-0281,2017,storm,1,L1:1,Bolikhamxai,NA,needs_emdat_event_date_and_black_marble_extraction
LAO,Lao PDR,02-394,2018-0222,2018,flood,1,L2:1,Attapu,Sanamxay,needs_emdat_event_date_and_black_marble_extraction
LAO,Lao PDR,06-169,2015-0460,2015,flood,1,L2:1,Louangphrabang,Nan,needs_emdat_event_date_and_black_marble_extraction
LKA,Sri Lanka,5914,2014-0495,2014,flood,1,L1:1,Mullaitivu,NA,needs_emdat_event_date_and_black_marble_extraction
MMR,Myanmar,4423,2014-0412,2014,flood,1,L2:1,Shan,Tarchilaik,needs_emdat_event_date_and_black_marble_extraction
MYS,Malaysia,4071,2015-0021,2015,flood,1,L1:1,Sarawak,NA,needs_emdat_event_date_and_black_marble_extraction
MYS,Malaysia,4072,2015-0216,2015,earthquake,1,L1:1,Sabah,NA,needs_emdat_event_date_and_black_marble_extraction
NPL,Nepal,4471,2012-0186,2012,flood,1,L3:1,West,Gandaki,needs_emdat_event_date_and_black_marble_extraction
NPL,Nepal,4475,2014-0268,2014,flood,1,L1:1,Far-Western,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,02-492,2016-0240,2016,flood,1,L3:1,N.W.F.P.,Malakand,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,02-493,2016-0270,2016,flood,1,L3:1,F.A.T.A.,F.A.T.A.,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,02-494,2016-0387,2016,flood,1,L2:1,Sind,Karachi,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,03-377,2014-0546,2014,extreme temperature,1,L3:1,Sind,Mirpur Khas,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,04-506,2012-0511,2012,landslide,1,L1:1,Azad Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,04-507,2012-0084,2012,landslide,1,L1:1,Azad Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,05-679,2015-0454,2015,mass movement (dry),1,L2:1,Sind,Karachi,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,06-205,2015-0288,2015,flood,1,L1:1,N.W.F.P.,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,06-209,2015-0571,2015,earthquake,1,L3:1,F.A.T.A.,F.A.T.A.,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4765,2012-0325,2012,flood,1,L1:1,Azad Kashmir,NA,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4770,2013-0484,2013,earthquake,1,L3:1,Baluchistan,Kalat,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4771,2014-0322,2014,storm,1,L2:1,N.W.F.P.,Peshawar,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4775,2015-0145,2015,flood,1,L2:1,N.W.F.P.,Peshawar,needs_emdat_event_date_and_black_marble_extraction
PAK,Pakistan,4776,2015-0215,2015,flood,1,L3:1,Baluchistan,Kalat,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,4858,2013-0408,2013,storm,1,L1:1,Cordillera,NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5321,2012-0031,2012,earthquake,1,L2:1,Negros Oriental,Tayasan,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5326,2012-0171,2012,flood,1,L2:1,Sultan Kudarat,Kalamansig,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5331,2012-0296,2012,storm,1,L1:1,La Union,NA,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5332,2012-0431,2012,earthquake,1,L2:1,Eastern Samar,Guiuan,needs_emdat_event_date_and_black_marble_extraction
PHL,Philippines,5333,2012-0321,2012,earthquake,1,L2:1,Bukidnon,Maramag,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,01-1103,2014-0405,2014,flood,1,L1:1,Gulf,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,02-504,2018-0055,2018,earthquake,1,L1:1,Southern Highlands,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,02-505,2018-0316,2018,earthquake,1,L1:1,Southern Highlands,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,04-519,2012-0052,2012,landslide,1,L1:1,Southern Highlands,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,05-699,2014-0410,2014,volcanic activity,1,L1:1,Bougainville,NA,needs_emdat_event_date_and_black_marble_extraction
PNG,Papua New Guinea,4842,2012-0349,2012,flood,1,L1:1,Southern Highlands,NA,needs_emdat_event_date_and_black_marble_extraction
