tile_id,polygon_url,point_url,polygon_size_mb_catalog,point_size_mb_head,confidence_threshold_80_precision,confidence_threshold_85_precision,confidence_threshold_90_precision,building_count,building_count_85_precision,building_count_90_precision,num_samples
323,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/323_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/323_buildings.csv.gz,165.0,41.38,0.784,0.845,0.92,1675144,556650,81490,4340
325,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/325_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/325_buildings.csv.gz,270.8,70.29,0.696,0.75,0.818,2864942,1682659,766759,4551
32f,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/32f_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/32f_buildings.csv.gz,491.5,127.14,0.716,0.766,0.83,5189632,2564393,1082048,3361
331,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/331_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/331_buildings.csv.gz,201.8,52.93,0.738,0.776,0.824,2166371,879739,429653,2102
339,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/339_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/339_buildings.csv.gz,1433.6,377.62,0.763,0.817,0.874,15325418,4666004,1588999,10592
33b,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/33b_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/33b_buildings.csv.gz,1019.2,270.61,0.754,0.799,0.849,10854108,3723338,1679313,6564
33d,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/33d_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/33d_buildings.csv.gz,3.6,0.89,0.668,0.668,0.668,38837,36595,36595,49
347,https://storage.googleapis.com/open-buildings-data/v3/polygons_s2_level_4_gzip/347_buildings.csv.gz,https://storage.googleapis.com/open-buildings-data/v3/points_s2_level_4_gzip/347_buildings.csv.gz,0.7,0.17,,,,,,,
